iso3,bloc,status,source,checked_on,note
LUX,European Union,member,https://european-union.europa.eu/principles-countries-history/eu-countries_en,2026-09-26,
LVA,European Union,member,https://european-union.europa.eu/principles-countries-history/eu-countries_en,2026-09-26,
MLT,European Union,member,https://european-union.europa.eu/principles-countries-history/eu-countries_en,2026-09-26,
NLD,European Union,member,https://european-union.europa.eu/principles-countries-history/eu-countries_en,2026-09-26,
POL,European Union,member,https://european-union.europa.eu/principles-countries-history/eu-countries_en,2026-09-26,
PRT,European Union,member,https://european-union.europa.eu/principles-countries-history/eu-countries_en,2026-09-26,
ROU,European Union,member,https://european-union.europa.eu/principles-countries-history/eu-countries_en,2026-09-26,
SVK,European Union,member,https://european-union.europa.eu/principles-countries-history/eu-countries_en,2026-09-26,
SVN,European Union,member,https://european-union.europa.eu/principles-countries-history/eu-countries_en,2026-09-26,
SWE,European Union,member,https://european-union.europa.eu/principles-countries-history/eu-countries_en,2026-09-26,
ARG,G20,member,https://www.g20.org,2026-09-26,
AUS,G20,member,https://www.g20.org,2026-09-26,
BRA,G20,member,https://www.g20.org,2026-09-26,
CAN,G20,member,https://www.g20.org,2026-09-26,
CHN,G20,member,https://www.g20.org,2026-09-26,
DEU,G20,member,https://www.g20.org,2026-09-26,
FRA,G20,member,https://www.g20.org,2026-09-26,
GBR,G20,member,https://www.g20.org,2026-09-26,
IDN,G20,member,https://www.g20.org,2026-09-26,
IND,G20,member,https://www.g20.org,2026-09-26,
ITA,G20,member,https://www.g20.org,2026-09-26,
JPN,G20,member,https://www.g20.org,2026-09-26,
KOR,G20,member,https://www.g20.org,2026-09-26,
MEX,G20,member,https://www.g20.org,2026-09-26,
RUS,G20,member,https://www.g20.org,2026-09-26,
SAU,G20,member,https://www.g20.org,2026-09-26,
TUR,G20,member,https://www.g20.org,2026-09-26,
USA,G20,member,https://www.g20.org,2026-09-26,
ZAF,G20,member,https://www.africanews.com/2026/01/23/south-africa-to-step-aside-from-g20-during-united-states-presidency/,2026-09-26,Member; stepped aside from G20 meetings during the 2026 US presidency
CAN,G7,member,https://www.g7italy.it/en/the-g7/,2026-09-26,
DEU,G7,member,https://www.g7italy.it/en/the-g7/,2026-09-26,
FRA,G7,member,https://www.g7italy.it/en/the-g7/,2026-09-26,
GBR,G7,member,https://www.g7italy.it/en/the-g7/,2026-09-26,
ITA,G7,member,https://www.g7italy.it/en/the-g7/,2026-09-26,
JPN,G7,member,https://www.g7italy.it/en/the-g7/,2026-09-26,
USA,G7,member,https://www.g7italy.it/en/the-g7/,2026-09-26,
ARG,Mercosur,member,https://www.mercosur.int/en/about-mercosur/countries,2026-09-26,
BOL,Mercosur,member,https://www.mercosur.int/en/about-mercosur/countries,2026-09-26,
BRA,Mercosur,member,https://www.mercosur.int/en/about-mercosur/countries,2026-09-26,
PRY,Mercosur,member,https://www.mercosur.int/en/about-mercosur/countries,2026-09-26,
URY,Mercosur,member,https://www.mercosur.int/en/about-mercosur/countries,2026-09-26,
VEN,Mercosur,suspended,https://www.mercosur.int/en/about-mercosur/countries,2026-09-26,Suspended under the Ushuaia Protocol
ALB,NATO,member,https://www.nato.int/cps/en/natohq/topics_52044.htm,2026-09-26,
BEL,NATO,member,https://www.nato.int/cps/en/natohq/topics_52044.htm,2026-09-26,
BGR,NATO,member,https://www.nato.int/cps/en/natohq/topics_52044.htm,2026-09-26,
CAN,NATO,member,https://www.nato.int/cps/en/natohq/topics_52044.htm,2026-09-26,
CZE,NATO,member,https://www.nato.int/cps/en/natohq/topics_52044.htm,2026-09-26,
DEU,NATO,member,https://www.nato.int/cps/en/natohq/topics_52044.htm,2026-09-26,
DNK,NATO,member,https://www.nato.int/cps/en/natohq/topics_52044.htm,2026-09-26,
ESP,NATO,member,https://www.nato.int/cps/en/natohq/topics_52044.htm,2026-09-26,
EST,NATO,member,https://www.nato.int/cps/en/natohq/topics_52044.htm,2026-09-26,
FIN,NATO,member,https://www.nato.int/cps/en/natohq/topics_52044.htm,2026-09-26,
FRA,NATO,member,https://www.nato.int/cps/en/natohq/topics_52044.htm,2026-09-26,
GBR,NATO,member,https://www.nato.int/cps/en/natohq/topics_52044.htm,2026-09-26,
GRC,NATO,member,https://www.nato.int/cps/en/natohq/topics_52044.htm,2026-09-26,
HRV,NATO,member,https://www.nato.int/cps/en/natohq/topics_52044.htm,2026-09-26,
HUN,NATO,member,https://www.nato.int/cps/en/natohq/topics_52044.htm,2026-09-26,
ISL,NATO,member,https://www.nato.int/cps/en/natohq/topics_52044.htm,2026-09-26,
ITA,NATO,member,https://www.nato.int/cps/en/natohq/topics_52044.htm,2026-09-26,
LTU,NATO,member,https://www.nato.int/cps/en/natohq/topics_52044.htm,2026-09-26,
LUX,NATO,member,https://www.nato.int/cps/en/natohq/topics_52044.htm,2026-09-26,
LVA,NATO,member,https://www.nato.int/cps/en/natohq/topics_52044.htm,2026-09-26,
MKD,NATO,member,https://www.nato.int/cps/en/natohq/topics_52044.htm,2026-09-26,
MNE,NATO,member,https://www.nato.int/cps/en/natohq/topics_52044.htm,2026-09-26,
NLD,NATO,member,https://www.nato.int/cps/en/natohq/topics_52044.htm,2026-09-26,
NOR,NATO,member,https://www.nato.int/cps/en/natohq/topics_52044.htm,2026-09-26,
POL,NATO,member,https://www.nato.int/cps/en/natohq/topics_52044.htm,2026-09-26,
PRT,NATO,member,https://www.nato.int/cps/en/natohq/topics_52044.htm,2026-09-26,
ROU,NATO,member,https://www.nato.int/cps/en/natohq/topics_52044.htm,2026-09-26,
SVK,NATO,member,https://www.nato.int/cps/en/natohq/topics_52044.htm,2026-09-26,
SVN,NATO,member,https://www.nato.int/cps/en/natohq/topics_52044.htm,2026-09-26,
SWE,NATO,member,https://www.nato.int/cps/en/natohq/topics_52044.htm,2026-09-26,
TUR,NATO,member,https://www.nato.int/cps/en/natohq/topics_52044.htm,2026-09-26,
USA,NATO,member,https://www.nato.int/cps/en/natohq/topics_52044.htm,2026-09-26,
CAN,USMCA,member,https://ustr.gov/trade-agreements/free-trade-agreements/united-states-mexico-canada-agreement,2026-09-26,
MEX,USMCA,member,https://ustr.gov/trade-agreements/free-trade-agreements/united-states-mexico-canada-agreement,2026-09-26,
USA,USMCA,member,https://ustr.gov/trade-agreements/free-trade-agreements/united-states-mexico-canada-agreement,2026-09-26,
