code,name_pt,name_en,unit,format,higher_is_better,source_note
SI.POV.NAHC,Pobreza na linha de pobreza nacional (% da população),Poverty headcount ratio at national poverty lines (% of population),%,percent,FALSE,
SH.STA.STNT.ZS,Prevalência de baixa estatura para a idade (% das crianças menores de 5 anos),"Prevalence of stunting, height for age (% of children under 5)",%,percent,FALSE,
SN.ITK.DEFC.ZS,Prevalência de subalimentação (% da população),Prevalence of undernourishment (% of population),%,percent,FALSE,
SN.ITK.SVFI.ZS,Prevalência de insegurança alimentar grave (%),Prevalence of severe food insecurity in the population (%),%,percent,FALSE,
SH.STA.STNT.FE.ZS,"Prevalência de baixa estatura para a idade, meninas (% menores de 5 anos)","Prevalence of stunting, height for age, female (% of children under 5)",%,percent,FALSE,
SH.STA.STNT.MA.ZS,"Prevalência de baixa estatura para a idade, meninos (% menores de 5 anos)","Prevalence of stunting, height for age, male (% of children under 5)",%,percent,FALSE,
SH.DYN.MORT,Taxa de mortalidade de menores de 5 anos (por mil nascidos vivos),"Mortality rate, under-5 (per 1,000 live births)","per 1,000",number,FALSE,
SH.HIV.INCD.ZS,"Incidência de HIV, 15 a 49 anos (por mil não infectados)","Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)","per 1,000",number,FALSE,
SH.DYN.MORT.FE,"Taxa de mortalidade de menores de 5 anos, meninas (por mil nascidos vivos)","Mortality rate, under-5, female (per 1,000 live births)","per 1,000",number,FALSE,
SH.DYN.MORT.MA,"Taxa de mortalidade de menores de 5 anos, meninos (por mil nascidos vivos)","Mortality rate, under-5, male (per 1,000 live births)","per 1,000",number,FALSE,
SP.ADO.TFRT,Taxa de fertilidade na adolescência (nascimentos por mil mulheres de 15 a 19 anos),"Adolescent fertility rate (births per 1,000 women ages 15-19)","per 1,000",number,FALSE,
SE.SEC.CMPT.LO.ZS,"Taxa de conclusão do ensino fundamental II, total (%)","Lower secondary completion rate, total (% of relevant age group)",%,percent,TRUE,
SE.ADT.1524.LT.ZS,Taxa de alfabetização de jovens (% de 15 a 24 anos),"Literacy rate, youth total (% of people ages 15-24)",%,percent,TRUE,
SE.SEC.CMPT.LO.FE.ZS,"Taxa de conclusão do ensino fundamental II, mulheres (%)","Lower secondary completion rate, female (% of relevant age group)",%,percent,TRUE,
SE.SEC.CMPT.LO.MA.ZS,"Taxa de conclusão do ensino fundamental II, homens (%)","Lower secondary completion rate, male (% of relevant age group)",%,percent,TRUE,
SL.EMP.SMGT.FE.ZS,Participação feminina em cargos de gestão sênior e intermediária (%),Female share of employment in senior and middle management (%),%,percent,TRUE,
IC.FRM.FEMM.ZS,Empresas com mulher como principal executiva (% das empresas),Firms with female top manager (% of firms),%,percent,TRUE,
SH.STA.BASS.ZS,Acesso a pelo menos serviços básicos de saneamento (% da população),People using at least basic sanitation services (% of population),%,percent,TRUE,
ER.H2O.FWST.ZS,"Nível de estresse hídrico (retirada de água doce / recursos disponíveis, %)",Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,%,percent,FALSE,
SH.H2O.SMDW.ZS,Água potável gerida com segurança (% da população),People using safely managed drinking water services (% of population),%,percent,TRUE,
EG.ELC.ACCS.RU.ZS,"Acesso à eletricidade, zona rural (% da população rural)","Access to electricity, rural (% of rural population)",%,percent,TRUE,
EG.ELC.ACCS.UR.ZS,"Acesso à eletricidade, zona urbana (% da população urbana)","Access to electricity, urban (% of urban population)",%,percent,TRUE,
NY.GDP.PCAP.KD.ZG,Crescimento do PIB per capita (% anual),GDP per capita growth (annual %),%,percent,TRUE,
FX.OWN.TOTL.ZS,Titularidade de conta em instituição financeira ou serviço móvel (% 15+),Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),%,percent,TRUE,
NV.IND.MANF.ZS,"Indústria de transformação, valor adicionado (% do PIB)","Manufacturing, value added (% of GDP)",%,percent,,
GB.XPD.RSDV.GD.ZS,Gastos com pesquisa e desenvolvimento (% do PIB),Research and development expenditure (% of GDP),%,percent,TRUE,
SI.SPR.PC40.ZG,Crescimento médio anual da renda/consumo dos 40% mais pobres (%),"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",%,percent,TRUE,
SI.SPR.PCAP.ZG,Crescimento médio anual da renda/consumo da população total (%),"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",%,percent,TRUE,
SI.DST.50MD,População vivendo abaixo de 50% da renda mediana (%),Proportion of people living below 50 percent of median income (%),%,percent,FALSE,
SI.RMT.COST.IB.ZS,Custo médio de envio de remessas para o país (%),Average transaction cost of sending remittances to a specific country (%),%,percent,FALSE,
SI.RMT.COST.OB.ZS,Custo médio de envio de remessas a partir do país (%),Average transaction cost of sending remittances from a specific country (%),%,percent,FALSE,
SP.URB.GROW,Crescimento da população urbana (% anual),Urban population growth (annual %),%,percent,,
EN.ATM.PM25.MC.M3,Exposição média anual à poluição do ar PM2.5 (µg/m³),"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",µg/m3,number,FALSE,
NY.ADJ.SVNX.GN.ZS,"Poupança líquida ajustada, excluindo danos por material particulado (% da RNB)","Adjusted net savings, excluding particulate emission damage (% of GNI)",%,percent,TRUE,
NY.GDP.TOTL.RT.ZS,"Rendas de recursos naturais, total (% do PIB)",Total natural resources rents (% of GDP),%,percent,,
EN.CLC.MDAT.ZS,"População afetada por secas, enchentes e temperaturas extremas (% média 1990–2009)","Droughts, floods, extreme temperatures (% of population, average 1990-2009)",%,percent,FALSE,Historical average; no time series
EN.CLC.DRSK.XQ,Progresso na redução do risco de desastres (1–5),Disaster risk reduction progress score (1-5 scale; 5=best),score 1-5,number,TRUE,
EN.GHG.ALL.MT.CE.AR5,"Emissões totais de GEE, excluindo LULUCF (Mt CO₂e)",Total greenhouse gas emissions excluding LULUCF (Mt CO2e),Mt CO2e,compact,FALSE,
ER.FSH.PROD.MT,Produção pesqueira total (toneladas),Total fisheries production (metric tons),metric tons,compact,,
ER.FSH.AQUA.MT,Produção aquícola (toneladas),Aquaculture production (metric tons),metric tons,compact,,
ER.FSH.CAPT.MT,Produção da pesca de captura (toneladas),Capture fisheries production (metric tons),metric tons,compact,,
ER.LND.PTLD.ZS,Áreas terrestres protegidas (% da área terrestre),Terrestrial protected areas (% of total land area),%,percent,TRUE,
GF.XPD.BUDG.ZS,Gastos primários do governo em relação ao orçamento aprovado (%),Primary government expenditures as a proportion of original approved budget (%),%,percent,,Closer to 100 = better budget reliability
IC.FRM.BRIB.ZS,Incidência de suborno (% das empresas com ao menos um pedido de propina),Bribery incidence (% of firms experiencing at least one bribe payment request),%,percent,FALSE,
SP.REG.BRTH.ZS,Completude do registro de nascimento (%),Completeness of birth registration (%),%,percent,TRUE,
SP.REG.BRTH.RU.ZS,"Completude do registro de nascimento, área rural (%)","Completeness of birth registration, rural (%)",%,percent,TRUE,
SP.REG.BRTH.UR.ZS,"Completude do registro de nascimento, área urbana (%)","Completeness of birth registration, urban (%)",%,percent,TRUE,
BX.TRF.PWKR.DT.GD.ZS,Remessas pessoais recebidas (% do PIB),"Personal remittances, received (% of GDP)",%,percent,,
DT.TDS.DECT.EX.ZS,Serviço da dívida total (% das exportações e renda primária),"Total debt service (% of exports of goods, services and primary income)",%,percent,FALSE,
GC.TAX.TOTL.GD.ZS,Receita tributária (% do PIB),Tax revenue (% of GDP),%,percent,,
NE.EXP.GNFS.ZS,Exportações de bens e serviços (% do PIB),Exports of goods and services (% of GDP),%,percent,,
